"Time","YAW_RATE","STEERING_TORQUE","ACCEL_Y","BRAKE_AMOUNT","BRAKE_PEDAL","ENCODER","SPEED","CHECKSUM","CRUISE_ACTIVE","GAS_RELEASED","STANDSTILL_ON","ACCEL_NET","CRUISE_STATE","CANCEL_REQ","MAIN_ON","LOW_SPEED_LOCKOUT","SET_SPEED","GAS_PEDAL","DISTANCE_LINES","CRUISE_CONTROL_STATE","UI_SET_SPEED","VIN_1","VIN_2","VIN_3","VIN_4","VIN_5","VIN_6","VIN_7","VIN_8","VIN_9","VIN_10","VIN_11","VIN_12","VIN_13","VIN_14","VIN_15","VIN_16","VIN_17","UNITS","ODOMETER","DOOR_OPEN_FL","DOOR_OPEN_FR","DOOR_OPEN_RR","DOOR_OPEN_RL","SEATBELT_DRIVER_UNLATCHED"
"s","deg/sec","","m/s^2","","","","kph","","","","","m/s2","","","","kph","kph","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.068","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.178","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.369","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.385","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.432","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.527","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.796","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.891","","","","","","","","4","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.017","","","","0","0","","","3","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.127","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.174","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.205","","","","","","","","3","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.253","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.300","","","","0","0","","","4","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.441","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.552","","","","0","0","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.647","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.788","","","","","","","","180","0","","0","0.685","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.899","","","","","","","","180","0","","0","0.685","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5.056","","","","","","","","180","0","","0","0.685","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5.182","","","","","","","","174","0","","0","0.682","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5.293","-0.072","4","-0.286","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5.324","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
